"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\controller\account\register_controller.dart", "Dart", 55, 1, 1, 57
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register.dart", "Dart", 16, 1, 1, 18
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\register_email_pass.dart", "Dart", -16, -1, 0, -17
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\account\register\widgets\terms_and_conditions.dart", "Dart", -21, 0, 0, -21
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\components.dart", "Dart", 46, 4, 2, 52
"Total", "-", 80, 5, 4, 89
