"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\main.dart", "Dart", 2, 1, 1, 4
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\admin\manage\inquiries\inquiries.dart", "Dart", 50, 1, 4, 55
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\admin\manage\reports\reports.dart", "Dart", 725, 22, 24, 771
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\strings.dart", "Dart", 76, 2, 4, 82
"Total", "-", 853, 26, 33, 912
