"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\main.dart", "Dart", 8, 2, 2, 12
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\accountant\accountant_home.dart", "Dart", -1, 0, 0, -1
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\admin\manage\reports\reports.dart", "Dart", -1, 0, 0, -1
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\outsource\accounting_outsource.dart", "Dart", 327, 1, 13, 341
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\outsource\application_process\vehicle_information.dart", "Dart", 51, 1, 4, 56
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\outsource\inquiries_outsource.dart", "Dart", 480, 15, 22, 517
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\outsource\manage_outsource.dart", "Dart", 657, 15, 18, 690
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\strings.dart", "Dart", 20, 3, 3, 26
"Total", "-", 1541, 37, 62, 1640
