"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\admin\profile\profile.dart", "Dart", 1163, 28, 22, 1213
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\pages\admin\rentals\rentals.dart", "Dart", 0, 1, 0, 1
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\colors.dart", "Dart", 5, 1, 1, 7
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\components.dart", "Dart", 2, 0, 0, 2
"c:\Users\Daniel\Desktop\Flutter_Practice\dara\dara_app\lib\view\shared\strings.dart", "Dart", 29, 2, 4, 35
"Total", "-", 1199, 32, 27, 1258
